"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"1","6","36","D","C",-40,-36,"D","Loss",1644,2223
"1","6","37","D","C",-40,-36,"C","Loss",1608,1195
"1","6","38","D","C",-40,-36,"C","Loss",1572,1017
"1","6","39","C","A",-36,36,"A","Catch",1608,990
"1","6","40","A","B",36,40,"A","Gain",1644,1259
"1","6","41","C","D",-36,-40,"C","Loss",1608,1102
"1","6","42","C","D",-36,-40,"C","Loss",1572,871
"1","6","43","D","C",-40,-36,"C","Loss",1536,1083
"1","6","44","D","C",-40,-36,"C","Loss",1500,1605
"1","6","45","D","A",-40,36,"A","Catch",1536,906
"1","6","46","C","B",-36,40,"B","Catch",1576,692
"1","6","47","A","B",36,40,"B","Gain",1616,525
"1","6","48","B","C",40,-36,"B","Catch",1656,605
"1","6","49","B","A",40,36,"A","Gain",1692,1395
"1","6","50","D","B",-40,40,"B","Catch",1732,753
"1","6","51","C","A",-36,36,"A","Catch",1768,592
"1","6","52","C","D",-36,-40,"C","Loss",1732,1029
"1","6","53","B","A",40,36,"A","Gain",1768,1034
"1","6","54","A","B",36,40,"A","Gain",1804,1117
"1","6","55","C","B",-36,40,"B","Catch",1844,695
"1","6","56","B","A",40,36,"B","Gain",1884,567
"1","6","57","A","B",36,40,"A","Gain",1920,910
"1","6","58","C","D",-36,-40,"C","Loss",1884,2127
"1","6","59","B","A",40,36,"A","Gain",1920,943
"1","6","60","B","A",40,36,"B","Gain",1960,935
"2","1","1","C","D",-36,-40,"C","Loss",-36,3351
"2","1","2","B","A",40,36,"A","Gain",0,1716
"2","1","3","B","A",40,36,"A","Gain",36,1405
"2","1","4","C","B",-36,40,"B","Catch",76,3058
"2","1","5","C","D",-36,-40,"D","Loss",36,2813
"2","1","6","A","B",36,40,"A","Gain",72,1641
"2","1","7","D","C",-40,-36,"D","Loss",32,2141
"2","1","8","A","B",36,40,"A","Gain",68,2109
"2","1","9","C","D",-36,-40,"D","Loss",28,5165
"2","1","10","C","D",-36,-40,"C","Loss",-8,1508
"2","1","11","D","A",-40,36,"A","Catch",28,2469
"2","1","12","A","B",36,40,"A","Gain",64,1808
"2","1","13","B","A",40,36,"A","Gain",100,1469
"2","1","14","A","B",36,40,"A","Gain",136,2200
"2","1","15","C","B",-36,40,"B","Catch",176,5086
"2","1","16","D","C",-40,-36,"D","Loss",136,3343
"2","1","17","D","C",-40,-36,"C","Loss",100,903
"2","1","18","A","B",36,40,"A","Gain",136,8591
"2","1","19","D","C",-40,-36,"C","Loss",100,6574
"2","1","20","B","A",40,36,"A","Gain",136,2285
"2","1","21","D","A",0,36,"D","Catch",136,2871
"2","1","22","D","B",-40,40,"B","Catch",176,8563
"2","1","23","C","A",-36,36,"A","Catch",212,2473
